,Nickname,Visit,Title,Review,Traveler_type,Families
24,Tasmia A,20-Feb,We had a chicken burger and,We had a chicken burger and a vege salad. Both were good portion sizes and super super tasty. Everything tasted super fresh and well balanced. Highly recommended.,Families,
25,124euaf,20-Feb,Great choice ,In a very central location near to times Square. The burger really tasty and the sweet potato fries as well. Not to expensive compared to other restaurants. The staff really helpful and pleasant.,Friends,
26,AnnMayTravelling,19-Dec,Very good Burgers for a still good price ,"My visit at 5 Napkin was very good. I came across it here on Tripadvisor and was not disappointed by what I found.
The food was very good and tasty. The burger was quite big and the patty was fresh and juicy. The fries needed...More",Families,
27,yourgurlstacyt87,20-Jan,Fod was good but watress kept starring at my boyfriend,The food tasted good but our watress kept looking at my boyfriend so we will not be returning. i dont remember what her name is but it was something weird so dont take your boyfriend here.,Families,
28,Amazon5,19-Oct,A Nice Place on 9th Avein NYC  but Crowded,"Wife had  a 5 burger and I had the wings, with matzo ball soup and brussels sprouts. 
Pretty decent drink list. Crowed and a bit noisey.",Couples,
29,gloriaprodriguez,19-Sep,Best burger in NYC,Best burger in NYC. My daughter loves going there specially when Jannet is on the house. Had so much fun last time we went and I recommend the Jerk chicken Burger with loaded fries.,Friends,
30,Tiziana S,19-Nov,Burger in NYC,"Very nice place to have dinner. The waiters are nice and helpful and the place is clean. Food is ok. The burgers looks very good and tasty but they aren't the only choice. You can have salads, stakes for example. Suggested but not mandatory.",Friends,
31,Arcady12,20-Jan,Average - nothing special,"Really average place. Everything is regular. Service. Food. Prices.
Hamburgers looks and feels like before-prepared and heated up. For $17 burger it's not what you want to feel, right?",Friends,
32,TopTraveller99,19-Dec,New Years Eve,"We had a lovely meal here on New Years Eve 2019. We are from the UK and booked the table online. A huge shout out to our waiter, Gus, who was amazing. He basically picked our meals and was so knowledgeable, especially with beer! Would...More",Friends,
33,mati27,20-Jan,Great burgers!,"Very cute place and good location. Me and my boyfriend have been there for a casual dinner and the burgers were absolutely amazing, as well as the shakes. Sooo worth it.",Friends,
34,susanleighh,20-Jan,Great place for a burger and shake!,"Tried this place after a great recommendation. It lived up to the review!  Greasy atmosphere, food was very tasty, service was superb!  My daughter and I shared a burger, the guacamole and fries and that was a perfect amount!  We will definitely go back!!",Business,
35,JasB890634,19-Dec,Visit to New York,"Restaurant was recommended to us by another business.  Service was good, except the waiter memorized our order but when the food was brought out it was all mixed up at the table.  Fortunately the food was all correct and it was very good.  The restaurant...More",Solo,
36,nossas_ferias,19-Dec,The Best Vegan ,"That was the best vegan burger I’ve ever had, the smell, the appearance and the taste made me wonder if that wasn’t meat... The price is a bit high, and the environment was really noisy and not cozy.",Business,
37,oklang,19-Aug,Great Burgers in Hells Kitchen!!,"We fancied a decent burger and checked out the reviews on tripadvisor so booked, was shown to our table by a really friendly girl and had a great meal in a busy restaurant with buzzing atmosphere.  Our daughter still talks about how good her shake...More",Families,
38,TonyKirsty12,19-Dec,Time Square... not for us.,"We walked around Time Square looking for somewhere to eat and have a beer or 3.... and walked around for a while then found this place, it was busy but we were told to wait at the bar where we ordered a beer, waited no...More",Couples,
39,tsolisakis,19-Dec,Not bad but ....,Being there with two kids was a not good experience since they let us sit next to the door where people where coming in and out. Before the order and since we saw empty tables we kindly asked to change but nothing happened. Care is...More,Friends,
40,SueLH512,19-Dec,Delicious!,"Best burger I've had in a long time--juicy, cooked to perfection.  Sweet potato fries were tasty.  Not a huge menu, but they did also offer a nice grilled chicken sandwich with a bit of a hot kick to it.  We didn't have to wait too...More",Business,
41,I_am_pequele,19-Nov,Just ok,"When you order a burger, you don’t have to expect to order a side of fries separately, but you do. My turkey patty, while cooked, fell apart with every bite. Sure the location is convenient but it’s nothing I’d write home about really.",Families,
42,karenpQ2922RP,19-Dec,Tasty Food,"The food was tasty and arrived promptly. The menu is not extensive, but there is enough choice and is principally an American type eaterie.
Maybe a bit more expensive than it should be, but I would return",Business,
43,JanaSLT,19-Dec,Buzzing burger restaurant ,"Having heard of this restaurant from my teenage niece, I was eager to try it after a theatre trip. I could not get enough of the dill pickles that were set down in the table after we were seated and given our menus. The Five...More",Families,
44,Paul F,19-Dec,Best value we had in NYC,Although the 5 Napkin Burger restaurant was still expensive for a burger and fries it was significantly cheaper than almost everywhere else we ate in NYC. The staff were great and the food was excellent. A short walk from Times Square but worth it to...More,Families,
45,Hooboox,19-Dec,Great burgers!,Went here Sunday eve after a broadway show. Totally full and nice atmosphere. Awesome hamburgers. The real thing!,Business,
46,FrequentFlier567124,19-Nov,After theatre dinner,"Reasonable burger and fries.  Bit pricey for what it was, but tasty enough.  Place was not very busy, but we got sat almost in the laps of a young couple on a date as we did not have reservations.  Service was a bit slow.  Waiter...More",Friends,
47,feuermedic,19-Dec,Great evening ,5 Napkins takes reservations on a limited basis but we opted to walk-in at 7:30. Our wait was only about 20 minutes. The bar staff were prompt with our drinks while we waited. Our waiter Gus was on it and we had a great meal....More,Couples,
48,546MP,19-Nov,Great location away from crowds,This sits on 9th Ave right near all the theaters.  We stopped in on  Friday at 6. Got lucky to get a table and made 8 pm show.  My boy had bacon burger. I had 5 napkin burger.  Both very good.  Although the bun did...More,Business,
49,Tambalini,19-Nov,Outstanding burgers,This place is awesome! The burgers are great and the staff is friendly. If a nice casual meal is in the books then we had a great time and meal here. Right near all the theatres and being on 9th avenue was just far enough...More,Couples,
50,jaidenoneill,19-Nov,Very good,"The staff was very friendly, we didn't have a reservation and we waited only 15mins to be seated. The food was excellent, I had a 5N veggie burger, highly recommended but maybe a bit expensive for what it is..",Couples,
51,missamorgan10,19-Nov,Amazing vegan Burgers <U+0001F354> ,We had a superb meal at the restaurant. Great atmosphere at the bar when waiting by for our table. Blown away by the vegan burger. Staff were friendly. Highly recommend a visit.,Solo,
52,ritterups,19-Nov,love it,We were in nyc for four days and ate here every day. The service is always top notch and so is the food. Emily was so fun. Matt was also very good. All their servers are top notch. We always sit at the bar and...More,Couples,
53,Mmerola22,19-Nov,Napkins needed!!,"If you are looking for a great burger and fries, this is the place to go when on the West Side. There are many choices, to include sandwiches and salads, but why eat those when at this place? Juicy burgers cooked to order with a...More",Business,
54,Alwaysouter,19-Nov,Ok to try,"After reading some reviews, we went with high expectations to celebrate NYC Marathon completion. Service and food were ok, but WOW factor wasn’t there. Limited tap beers and spirits variety, onion rings order was microscopic and space for seating at the tables was less than...More",Families,
55,zybert60,19-Nov,Great food and service,"It was a Last minute family reunion .We got a great sitting, great service and the food was very good.
They are child friendly as well.",Friends,
56,LanceT_12,19-Nov,One Of The Best Burgers Ever,"The burgers at this place have a very unique flavor to them.  It's a charcoal grilled type of flavor that really works.  They use those really soft potato type buns that have their own unique flavor, and the two together make for an awesome burger....More",Friends,
57,tomerb110,19-Oct,Amazing burger restaurant on 9th avenue,"Amazing burger restaurant on 9th avenue, great service with very tasty food, it is best to book a place in advance so you don't wait.
A restaurant highly recommended for those who love the genre",Couples,
58,Jennifer J,19-Sep,Just okay,"The waiter was not very friendly and we all felt rushed. The food was just okay. It wasn't bad, but not great.",Families,
59,wayne m,19-Oct,Not even close to 5 guys burger,"Dry, bun huge, Jack cheese no flavor, won't return. Service was mediocre paid $100 for 2 burgers 2wines  1 beer and 1 bourbon. Don't 
Mind price but food and service wasn't worth it. Marriott concierge recommended.",Families,
60,Sheila8889,19-Oct,Exactly what we hoped for. Great burgers,Expect to wait in line unless you have a reservation! We passed a number of places enroute with only a few people in and felt silly booking this place for dinner at 8.30. Got to the door and people were queued up outside and in....More,Families,
61,UtahBikers,19-Oct,Severely over rated,"Very disappointed....Had been recommended by family as a ""must do"" place, So we booked as a group at an off peak time...We were on time but totally rushed into drinks decisions and then menu choices. Food came promptly....and then the bill/check, even though we had...More",Couples,
62,beccabee1,19-Oct,Awesome burgers,"Came here for dinner after an afternoon walking round Central Park.  We hadn’t reserved a table but there was only a 10 minute wait for a table.  The burgers were great, really delicious meat. Would definitely recommend if you’re in the area!",Solo,
63,yrush,19-Oct,Always Great Food & Close to B'Way Shows,"Known for their huge, juicy burgers, 5 Napkins also has terrific salads (avocado, tomato & feta is excellent!!) and even homemade tasting matzo ball soup that warmed me up on a cool, rainy night. Service is fast and friendly. Don't get put off by the...More",Business,
64,maggieC2012,19-Oct,Burger was great service not so much,"Reasons for bad service:
Sat outside, no server came to see us, so we came inside. They forgot most things we asked for so had to ask twice for mustard, pickles, water.

That being said the burger was amazing, fries too. I’d still recommend.",Friends,
65,michaelmT267ZI,19-Oct,Pre theatre dining,Great location close to Broadway. Made booking but arrived early and was seated immediately. Fast and efficient service with menu recommendations from the staff. Great experience.,Couples,
66,John G,19-Oct,Great After Show Dinner,"Burgers are great, with lots of unique options. Fast and friendly service as well. The ""boozy"" shakes are terrific!",Business,
67,Lucy H,19-Oct,Fabulous!,"We were a party of 8; 5 teens and 3 adults. Fabulous fun American atmosphere, very friendly staff and absolutely delicious burgers! Highly recommend.",Solo,
68,Angela B,19-Oct,Gluten free but watch it!,"Visited with my family of if 6, of which 3 are coeliac. Fabulous greeting and promise of gf bun and fries. Super menu and friendly staff. Gf choice of pure beef burgers was great. However non-gf child was also given gf bun (not sure why,...More",Families,
69,vg350,19-Oct,"Good food, good service","Good selection of burgers, one for every taste. Other options available as well. Terrific cocktails; helpful, friendly service. Great option whether you are going to the theater or not.",Business,
70,rainbow1211,19-Sep,meeting old friends from L.A. visiting New York,"Great meeting place-great location-great service-great food-great ambiance-great drinks.
Love coming here when we visit New York.",Solo,
71,pandawendyF,19-Oct,Great food and beer,"We came on a Sunday night without reservations, told it would be a 20-min wait for a table for 2; or immediate seating at the bar. We picked the bar, it literally made no difference for us. In fact, we really enjoyed the service due...More",Business,
72,katrinangel2,19-Oct,The burgers are always decent,"Even the veggie burgers are good ... but stay away from the fish, super bland. Our service stunk this go-round, the location on the UWS is better. I recommend making a reservation if you go during prime dinner hours.",Friends,
73,JHF4,19-Sep,YUM!,Best burger I have ever had. Little bit of a wait due to our group size (10) but they were very accommodating.  So delicious!,Couples,
74,28Skippy,19-Oct,Must visit!,Very friendly greeting when we entered. Was advised it would be a 20m wait to sit- tbh we were prepared for this. Waited at the bar where a polite lady served us drinks and gave us menus- so much choice! Where to start? In the...More,Couples,
75,JamesHungrywolf,19-Oct,OMG it was awesome!!,"This place was recommended and did not disappoint. The waiter was awesome and super professional and polite.  The veggie burger was incredible, the onion rings were melt in your mouth and even broccoli ... yes broccoli was prepared excellently.  Ask for extra burger sauce for...More",Families,
76,OriginalTaz,19-Oct,Great burger place,Very busy and bustling and a bit chaotic. Sure it is expensive for burgers but this is New York City of course. Burgers and fries were excellent,Families,
77,SammieA,19-Oct,Fab burger in a cool location ,"We found this place on TripAdvisor as my husband wanted to have a decent burger in NYC. It’s located in a trendy area and is super easy to find as it’s right on the corner with lots of people outside as it’s so popular. 

We...More",Families,
78,rockstar89,19-Sep,Okay,"Average run of the mill burger joint. Service was fine, food was okay. Nothing to write home about. I don’t know that I would ever need to return. Especially in a place like NYC where there is so much good food.",Solo,
79,Aturton,19-Sep,Excellent service excellent food,"Turned up on a Saturday, for a table quickly. Food was really really good. Service was great and friendly, really attentive. Not even that expensive! 5/5",Business,
80,Rolcsipa,19-Sep,"Excellent burger, not so cool ambient",My wife and I walked in without reservation and as it was a couple of empty tables we were surprised we were told to wait 'at the bar' 15-20 minutes and 15 minutes later we got one of the empty table beside a very loud...More,Solo,
81,Ben M,19-Sep,"Great food, not so good service ","Both of us loved our food, server cared less.  Brussel sprouts are amazing.   Great place, roll of the dice on server from what I can tell",Solo,
82,sofiet2015,19-Sep,Delicious burgers,"Always on the hunt for a good burger and we loved it here. Super juicy and tender, great service and a great selection of beers too :)",Families,
83,Montse C,19-Aug,Very good quality,"We went here 3 times, because we liked the menu, hamburguer and fries quality was so good and also very good experience with waiters and the place.
We will repeat it again in our next visit to New York!",Solo,
84,epicureanboy,19-Aug,Well done Chef,"As an old School European person who knows a bit his food, I got hooked by this place. I did not see myself giving 5 stars to a burger place (a bit of chauvinism here )
Well this was a 5 stars burger! The meat...More",Friends,
85,Diane C,19-Sep,First night Dinner,"WELL what can I say this place is amazing!!!  The bar we were going to eat at was very busy so gave this place a try so glad we did. 

After experiencing a burger back in the UK recently when I asked for it to...More",Families,
86,Jollyroger560,19-Jun,NOTHING SPECIAL FOR THE PRICE,We visited the restaurant for dinner on a Saturday evening. It was very busy so we had a 30 minute wait which wasn't a problem as it was a warm evening and we waited outside. The first thing I noticed is how close the tables...More,Families,
87,Bushman595,19-Aug,Rightly Popular,"Ate here twice during a recent stay in md-town and loved it both times. Great atmosphere, excellent burgers, fast and friendly service and reasonable value for money. And the beer was good too. What more can you ask for? Book to avoid a wait for...More",Families,
88,JeremyH738,19-Sep,"5 Napkin, 5 Stars!","We’re staying in NYC over from Manchester UK. This place was recommended and near our AirB&B, and it was as good as we hoped. Busy buzzing atmosphere, friendly waiter, great burger and my wife is veggie so she had the veg burger with a salad...More",Business,
89,LBBrad1031,19-Sep,Fantastic!,One of the best burgers I’ve had! Stopped in between Acts of Harry Potter because it was near our Airbnb. Turned out to be one of the best quick meals we had in NY.,Couples,
90,LaLa080361,19-Aug,Second visit,We travel to NYC every August.  5 Napkins was recommended by a friend and they do not disappoint.  Excellent service.  Full bar.  Salads are amazing.  Generous portions.  Make sure to visit them.,Solo,
91,psudino,19-Apr,"It was average, hence 3 stars",I went here with my son and the average rating is appropriate.  The food was better than average and the service was iffy since my sides were entered incorrectly and rather slow.  It was OK.,Friends,
92,DavidE579,19-Sep,Nice burger but nothing special. ,"We popped here as it was near to my hotel and had good reviews here. The service was prompt and the atmosphere was good. 

The tables for two I felt were rather cramped and you have to squeeze to get out. 

I had a turkey...More",Solo,
93,Robertcopeland,19-Sep,GREAT BURGERS,"We finally stopped here for lunch after passing it on many other visits.  The burgers are big and mine was prepared exactly as I ordered it.    Our server, Julia, was terrific.",Business,
94,annamorgan2015,19-Aug,Great food & atmosphere,The burgers were great and there was a lot of choice. Lots of gluten free options too and they were very accommodating for my coeliac disease!,Solo,
95,gdalo,19-Aug,A very tasty Hamburger ,"We found it by means of TripAdvisor, basing our choice on the feedback. 
I must say that we have been very satisfied. The food was very tasty and the personnel was so kind.
We tried cheese burger and cheesecake...delicious!",Couples,
96,katebenidoleig,19-Sep,Fabulous Burger,This was a second choice as we couldn’t get in our first ! Very very happy that we did . Although very busy and very noisy the staff were extremely attentive and we were greeted with ice water and pickles . The burgers were amazing...More,Solo,
97,Richiebeans,19-Jul,5 Napkins to Keep your Chops Clean,"5 Napkin Burger kills it. Loved the sandwich and the fries. Atmosphere is on point here, and the children will find appeal here, too.",Business,
98,H75travel,19-Aug,Sublime burgers,"I first came to 5 Napkin Burger more than 5 years ago and really enjoyed it, so when I was recently in New York with friends and they said they fancied a burger, I knew exactly where to come.

We arrived on a Friday for...More",Couples,
99,kayerich,19-Aug,Best burgers in NY,The burgers are by far the best in New York cooked to perfection. Fabulous service. I would recommend,Solo,
100,I7839WYjamesw,19-Aug,Fantastic burgers,Great family meal if you love your burgers. Really huge and delicious prompt service great atmosphere can eat inside or outside. Children's meals not much smaller than a adults. Must visit if you love a burger.,Solo,
101,Michael J,19-Jul,Great Place,"Simply put, One of the best burgers I’ve ever had! 
Wings were a great surprise. Fries were good & fresh out of the fryer.
Good service, perfect selection of food, not too much to overwhelm you, but plenty of options. 
Nice craft beer options as...More",Families,
102,P7266NSlisap,19-Aug,Happy we found this place,We found this great restaurant on Open Table. We went on Sunday and tried the brunch. The prices are great and the food is awesome! I also saw that they do a great happy hour. We will be back!,Friends,
103,Gill C,19-Jul,Great for Coeliacs,I first discovered this restaurant in October 2017 when my daughter and I stayed in New York.  My daughter is Coeliac and so we needed safe places to eat.  We found this restaurant and we were blown away by the food.  The burgers are delicious...More,Friends,
104,Alexandra D,19-Aug,Loads of options,"All the family enjoyed their chosen meal. Great for everyone, including vegetarians. Tried their local draft beer too which was decent enough.",Business,
105,MamaJ77,19-Aug,Family meal,We enjoyed a high quality meal for 2 adults and 3 children. The children’s meal was of equal quality to the adults. Good service and the highlight was the atmosphere in the restaurant.,Couples,
106,Alexandre Igor F,19-Aug,Ótimo burguer,"O hamburger estava ótimo. O atendimento do Joel T. impecável. 
Great Burguer. Amazing service by Joel T. 
It was fast and easy. Fair price.",Business,
107,697federicov,19-Aug,5 Napkin Burger!,"Had seen this place in instagram and had to check it out. Was not disappointed at all! I had their signature burger, the “5 Napkin” and it firs the bill perfectly! If you love burgers, this place has to be added to your “must try”...More",Families,
108,fxpuppet,19-Apr,Great food,I was on a buisness trip to NY and was lucky enough to be traveling with a co worker that spends alot if time in NY City. My coworker recomended that we stop in to 5 Napkins Burger for lunch on our first day in...More,Friends,
109,890debs,19-Aug,Good burgers,"A busy, hopping place, we were happy that we reserved via TripAdvisor / Open Table. We were seated immediately and treated to what they advertise: burgers yummy and juicy enough you need multiple napkins. We all ordered burgers and all like them cooked to different...More",Friends,
110,AnneDubai20111,19-Aug,Great burgers and lively atmosphere ,"We stumbled up this place when scouting out somewhere to eat around Hell’s Kitchen and loved our dinner. While waiting for our table we had a drink at the bar and were shortly seated after that. The place was packed, the burgers tasty, the service...More",Business,
111,Citylights000,19-Jul,Fantastic burgers,"The burgers were absolutely delicious. The meat was perfectly cooked and melted in your mouth. We had the onion rings as an appetizer and it was quite filling, so I suggest you don't order anything too greasy or filling so that you could really enjoy...More",Couples,
112,Ivisselys C,19-Jul,Excellent food and service!!,"We were on NYC for a business trip and went to 5 Napkin Burger for a birthday celebration in our group.  Everything was excellent from the moment we arrived with a reservation, the service, the food quality and the drinks!  Extremely recommended from a drink...More",Solo,
113,ziyady2019,19-Jul,Amazing Atmosphere ,This restaurant was top notch. I had a lot of fun eating at this restaurant and recommend it to everyone who enjoys a good burger. I ordered the guacamole and didn’t expect it to be that small but nonetheless it’s quality overpowered the quantity. The...More,Families,
114,appleeyessav,19-Jul,Can prepare the beyond burger any style ,I am a pescatarian and this restaurant offers the beyond burger. I got it prepared the 5Napkin way and it was cooked to perfection. I made last minute reservations on a Friday night. Arrived at 9 and was seated immediately. Conveniently located in Hell’s Kitchen...More,Business,
115,marysteuber,19-Jun,Great!,"This is overdue...last month we ate here after a long work day.  We had no wait, we asked to switch tables for more room (we're both very tall), no problem.  Had bacon/cheeseburgers, split an order of fries.  Everything hot and cooked to order.  Ivan was...More",Solo,
116,704cameronb,19-Jul,Excellent burger place on 9th Ave,"Wow - what great burgers this restaurant offers.

The food is really really tasty & menu offers great variety.

Was given this restaurant name by some locals who highly recommend & they did not disappoint.

You may have to wait for seat but it’s worth...More",Solo,
117,R2061UFmichaels,19-Jul,"Perfect Nachos, good cheeseburger, nice beer","It was loud, crowded, nice atmosphere...friendly staff...good burgers...tasty nachos...good drafted beer. Not cheap..but fine for what we got!",Solo,
118,theodorat90,19-Jul,Really good,"The place was very nice and clean, the waitress was fast and really kind and the food was very good!",Friends,
119,KatieG687,19-Jul,Great food,"Went for dinner.  Good location, next to a lot of stuff.  The food was good.  I can recommend the guacamole ranch burger and sweet potato fries.",Couples,
120,epicfoodadventures,19-Jul,A Burger Lover's Paradise!,"The 5 Napkin Burger is a must-visit restaurant in Manhattan! The restaurant is very bright and cheerful making the atmosphere amazing. I ordered a Grilled Chicken (Burger) which was one of the best burgers I have ever had. Around 10 minutes from ordering, our food...More",Friends,
121,AttwoodFamily,19-Jul,Good burgers,We had lunch at 5 Napkin on a recent family holiday in NY.  Good service and great burgers = a happy family :-),Business,
122,marciobandeira,19-Jul,Dont wast your lunch time,40 min waiting. Not good food. Expensive. Other tables arrive later than us and got the food first. And really. Food not a big deal. Find a better place more fair.,Families,
123,Olinec,19-Jul,The place for burgers,"The burgers here are great and that is all you need to know. No matter the type of burger or how you want it prepared, the burgers are great. Yes they have salads. But, really, order a burger",Friends,
124,AidaBeirut,19-Jun,Dinner at 5 Napkin Burger.,"We had to wait for 15 minutes to have a table.  It was full and people waiting for a table.  Delicious Burgers  salads, potatoes and generous food.",Couples,
125,F-O-N-D-Ax,19-Jul,<U+0001F331>Beyond Good,"Beyond meat! Thank gosh for vegan options while traveling on this HOT summer day. This place had a nice decor when compared to the pissy streets of NY. The wait staff was nice & our waitress kept our water glasses fill, which is a plus...More",Couples,
126,KuhnsGuy,19-Jul,"Great burgers, slow down the service","Multiple visits to this location recently and the burgers truly are first-rate. The bacon cheeseburger, however, this time seemed to be a bit skimpy on a key ingredient...namely the bacon. Also, terribly overcooked and brittle but the burger itself was as good as ever. 5...More",Couples,
127,HaveFun78,19-Jul,Vegan <U+0001F331> friendly ,"Our waitress Julia was really nice she kept my water full, which was a plus for me. That’s really all I require at a restaurant. Lots of choices, but we got the Beyond Meat burger with Vegan cheese which was really good can’t even tell...More",Couples,
128,chemie71,19-Jul,Not what we expected,"I think our hometown has us spoiled with great burgers. The burgers were good, but not the best ever. The tables for two are squashed together so you're pretty much part of the tables next to you too. We did not like that at all....More",Business,
129,RayMeredith,19-Jul,Pretty Good,"The 6 of us went after seeing Ain’t Too Proud for a bite. 

Most had burgers which were cooked to how it was ordered and they were pretty good. Being a burger lover, have had many across Canada and the US and a I would...More",Business,
130,wells69,19-Jun,Out of this world,"From start to finish we couldn't fault a thing. The staff who seated us to the waitresses, the bar staff and food. Our burgers were phenomenal pretty much all had different but all were great.
Top notch!!!!!
We went twice in two days",Couples,
131,19ernie56,19-Jun,very good burger,"We tought that if we are in New York we should eat a burger, not a fastfood burger but a right one and the 5 Napkin Burger was not far from our Hotel therefore we were there an fully satisfied",Families,
132,PinkeySweden,19-Feb,Hamburger heaven!,"We had pre-booked table on our trip during our Spring break and that was needed, the cue outside for a table was long! very good service, good suggestion my the waitress and excellent burgers for the entire family!
I highly recommend this restaurant for an...More",Business,
