,nickname,Visit,Title,Review,Traveler_type,Restaurant
11,holliet142,19-Dec,Best burgers in town!,"We stopped here late one evening during our trip to NYC. Great little sports bar, great service and fabulous food. Burgers were delicious and would definitely return if we ever visit New York again!",Families,Black Iron Burger
12,92Ruben14,20-Jan,Best burger in NY. Amazing,"Best burger in NY. Amazing quality of the products, best service. I recommended the mushroom truffle burger and the black iron burger. And from the sides the Loaded Fries.",Friends,Black Iron Burger
13,104justinr,19-Dec,Late dinner ,"Was in the city to catch a game at the Garden and see the Christmas tree. Stop here to get a quick burger. Had the mushroom truffle burger and it was delicious. Cooked to a good medium and nice and cheesy. Also had sangria, which...More",Business,Black Iron Burger
14,DeavBBQ,20-Feb,Masterpiece,"The Masterpiece is a must have. One of the best burgers I have eaten anywhere. Great beef, a perfectly cooked egg, bun, bacon and incredible caramelized onions. Flavor and then some, no ketchup required. Shoestring fries and a Hofbrau draft to wash it down. Ate...More",Friends,Black Iron Burger
15,Janiliba,20-Feb,Wide variety of tasty burgers in relaxed restaurant,Restaurant was very busy but we were seated after 5 minute wait. Cool location  on 38th Street West between 7th and 8th Ave. Great choice of special burgers or classic burgers you can create with a wide range of toppings. Vegan burger and fish option...More,Solo,Black Iron Burger
16,Pow800,19-Sep,Dinner,"Had a steak, was rather longer then the usual steak and would recommend but for 30 dollars it was quite a pocket stretcher.

good scene and saw Craig R.Horne",Friends,Black Iron Burger
17,Innerhousewife,20-Jan,Great lunch options,"They had some pretty good happy hour specials that we didn't end up trying-we were just there for the burgers. Numerous options for toppings/cheese, etc. Split an order of fries too and those were good. Quick seating, friendly servers-decent place for lunch if you're craving...More",Friends,Black Iron Burger
18,juanpgonzo,20-Jan,Pretty delicious burger <U+0001F354> ,Great place to grab a delicious and quick bite to eat burgers are a bit expensive for the size but a pretty damn good burger !,Solo,Black Iron Burger
19,StephenCr0ss,20-Jan,Burgers and more burgers ,Super place to get a great burger as you would expect. Very tasty and service was speedy. Would return.,Friends,Black Iron Burger
20,kimberlym514,20-Jan,Great Burger!,Excellent Burger and truffle fries! speciality sauces a must and  fun atmosphere! Definitely worthy of second visit!,Friends,Black Iron Burger
21,PerKrok,20-Jan,Very good burgers...but not a vegetable to be seen,"This is a good place for burgers. They have a good taste, they are greasy and fat with a good melted cheese and goes with french fries.
I did miss some vegetables and to have the possibility for a bit more healthy options...",Couples,Black Iron Burger
22,HappyWhen,20-Jan,"Tasty, relaxed, friendly and did I say tasty?","Find it - it's not that big as a place but very big in succeeding friendly and quick service, warm welcoming, relaxed and easygoing atmosphere,  straightforward menu and very tasty and fresh food.

We had fries aioli, onion rings, Little Italy burger and one classic...More",Business,Black Iron Burger
23,Cakebreadt,20-Jan,Nice Burgers but watch the extras!,"Nice Burgers but everything else is an extra.  The burger bun was quite ordinary, There is a good choice of beer though and a good atmosphere.",Families,Black Iron Burger
24,madmoo1984,20-Jan,Best burger I've EVER HAD ,"Arrived at this place having had my husband choose it because of the reviews, our theory is if it's busy then it must be good. We waited 15 mins for a table but once seated we were treated really well despite the staff clearly being...More",Families,Black Iron Burger
25,Felipecl17,20-Jan,"Perfect burgers, the appetizers,","Perfect burgers, the appetizers, desserts. Highly recommended. Worthed every penny. Hope to come back !!!",Friends,Black Iron Burger
26,SPN21,20-Jan,Mediocre Pub food in a bar atmosphere,"Overcooked chicken tenders ($9.15) with plain fries were not what we expected for the main menu item recommended by the waitress. They were not good. However, they happily replaced the tenders for some fresh ones that were less overcooked, but still a very disappointing choice....More",Families,Black Iron Burger
27,Jelto_88,19-Dec,Awesome food in an awesome city,"A very Nice variety of tasty burgers with a great service! Friendly staff, quick service and tasty food.",Families,Black Iron Burger
28,ShirleyA1398,19-Dec,Great little hole in the wall,Great little hole in the wall burger place. Don’t be fooled by the Black Burger carry out up the block. This is the real deal!,Couples,Black Iron Burger
29,Steve73W,19-Dec,Unbelievable Burgers! ,Worth tracking down as slightly off the tourist trail & can easily walk past from outside - but once inside it’s worth it! No frills interior & it’s small & cramped but this place is all about the atmosphere and food - both awesome! Backed...More,Friends,Black Iron Burger
30,daniw512,19-Dec,Tasty and fast,"We had little time, we were served quickly. And the food was delicious. The guys who sit at the next table praised this place. We believe them",Friends,Black Iron Burger
31,jillsF4245FI,19-Dec,Great burgers off the beaten path,"Great burger place just btn 7th & 8th Ave in the Fashion district. Quick, friendly service, nice juicy burgers with a ton of toppings to choose from!",Friends,Black Iron Burger
32,V9969JBmelissac,19-Dec,Best hamburger I had in my whole week.,"Best hamburger I had in my whole week . Really tasty, good ingredients, crispy and good bread. Really nice place to stay, it’s a typical American location. Staff really nice and fast we had 2 people before us and in 10 min we were seated....More",Friends,Black Iron Burger
33,Mike S,19-Dec,Gotta agree with the other reviews: BEST BURGER EVER,This was a totally random find; we needed to get in from the cold and searched for a local burger.  Best find ever.  Words can't begin to describe the flavors of each of the burgers we tried.  And the fries?  TDF.  This will become our...More,Friends,Black Iron Burger
34,Dream659209,19-Dec,Best burger ever,I saw the reviews and didn’t think this place could be that good.  It is.  I had the black iron burger and it was delicious.  Good staff too and a nice beer selection.,Business,Black Iron Burger
35,brins2019,19-Dec,Best burger ever,"Hands down the best burger I have ever eaten. The meat was so tender and juicy, they cook your burger as you ask too, I had mine Medium and I normally like fairly rare meat, it was perfect. 

I must stress this place isn’t necessarily...More",Solo,Black Iron Burger
36,418conorm,19-Dec,Best burger I've ever had HANDS DOWN. ,To start the venue was clean and had a young vibrant feel to it. Without question the best burger I've ever tasted. Staff were friendly and helpful with lots of recommendations. If you're looking for burgers and beers in NYC this is the spot,Business,Black Iron Burger
37,Hewson01,19-Jun,Loved their Burgers!,We found this place by pure chance and so happy that we did.  We ordered a few appetizers and drinks which came out quick and were fantastic.  Then we moved onto their burgers which all 4 of us loved!,Families,Black Iron Burger
38,Cathy S,19-Dec,First day arrival and we wanted a sit down hot meal close to our hotel.,So we walked in the rain to Black Iron Burger.  Everybody in the place was so helpful and made suggestions on the menu.  I got a Black Iron Burger and added bacon and it was delicious.  My husband got a caesars salad and kept raving...More,Couples,Black Iron Burger
39,gap2caf,19-Dec,Eh. Just ok.,"Eh. Just ok. We ordered the patty melt, fries and the Mexican salad. They were all pretty bland. Bummed.",Friends,Black Iron Burger
40,dougswift,19-Nov,Popular burger spot with great selection of beers,"Probably our best meal during a 5 day visit to New York. 
There was a bit of a wait, but we were there at peak time on a Friday night.
The food itself was amazing and the atmosphere is good, with live sports on TVs....More",Business,Black Iron Burger
41,Glenn W,19-Dec,FAB!,Had a really good meal here last night... great flavours at a good price.... well worth a visit! Nice atmosphere and attentive staff.,Families,Black Iron Burger
42,EllenGO,19-Dec,Definitely give it a shot! ,"Very good and delicious basic burger. Both meat and roll tasted fresh and were cooked properly for well done. We haven’t found many places that do a plain burger correctly, so we needed to compliment these folks. Service was quick, pleasant and appropriately helpful. Bread...More",Business,Black Iron Burger
43,N5714BLsarap,19-Nov,Very GOOD,Delicious burger!! I ordered two burgers and fries. They were so fast and the meet was on point. Recomended!,Families,Black Iron Burger
44,Charles T,19-Nov,"More than a ""burger joint""","With the proliferation of ""burger and shake"" restaurants trying to emulate the success of Shake Shack, we were pleased to find that Black Iron Burger stood on its own as more original.  The crowded lunch scene led to tight seating, but the noise level was...More",Families,Black Iron Burger
45,Amil77,19-May,Seems like a different restaurant since relocation,"Black Iron Burger was my go-to lunch during a period where I was in the city for work once a month. The fries and variety of artisan burgers were top notch. While in the city for pleasure a couple months ago, I put Black Iron...More",Business,Black Iron Burger
46,douglasr368,19-Nov,GREAT BURGERS GREAT BEERS ,"onion rings are very good, had the Masterpiece (it is of course!!) my friend had the Mushroom..., service is great, very New York ambience",Friends,Black Iron Burger
47,I3862PVcristinac,19-Nov,You have to experience it!,"We casually arrived to this restaurant, extremely lucky: a delicious burger and a perfect service. A further note to an extraordinarily clean and tidy restroom, we really appreciated it",Couples,Black Iron Burger
48,celinev255,19-Nov,Possibly the best burger I have ever had!,Heaven in a beautiful bun <U+0001F44C> we were lucky as we arrived early. It was packed when we left. Fries not included but we shared some and they were also fab!,Business,Black Iron Burger
49,Paul507,19-Oct,Top 1% for good reason,"We didn’t know much about this restaurant when we walked in but quickly found out why it’s in the top 1%. 

We had great service and the burger was fantastic Good German beer to go along with it. 
Stop in, you won’t be aorry",Couples,Black Iron Burger
50,lolawm,19-Oct,A delicious burger,A very casual spot. Great service and fun atmosphere. We all really loved our meals. We had 2 different kinds of beef burgers and one veggie burger. We all found everything delicious.,Couples,Black Iron Burger
51,Mellybelly182,19-Oct,Finally. A place that gets “dirty fries” right,"Staff were all very friendly and welcoming, the food came promptly and was cleared away quickly so we weren’t sitting around with dirty plates, and the food itself was delicious!",Solo,Black Iron Burger
52,AKZ-and-I,19-Oct,"Slick and friendly service, great atmosphere and most delicious burger I’ve had","The front of house team, the waitresses were very welcoming and friendly. 
The food came fast and was delicious. 
They say nobody beats their meat; they’re right!
And they understood my nut allergy and were able to cater for me.",Couples,Black Iron Burger
53,Claire I,19-Oct,"Amazing food, great atmosphere!","Hands down, the best burger I've ever eaten! Great atmosphere, drinks and staff. Wish I could visit more often!",Business,Black Iron Burger
54,Doron Z,19-Oct,Great burgers,Absolutely great burgers. Not as pretty or fat as on the website but they are made to perfection and melt in your mouth. Great value.,Families,Black Iron Burger
55,Martman66,19-Oct,Great food and atmosphere,"We visited here twice during a week in New York. Simple menu to choose your own fillings - burgers, fries and onion rings were all great. Friendly staff and buzzy atmosphere away from the noise of Times Square. Didn’t feel touristy like many of the...More",Friends,Black Iron Burger
56,Loreto R,19-Sep,Really good burgers!,"Just one of the best burgers in NYC. The masterpiece is superb and the sangria is also great. I took one star off because service is not so great, forgetful waitresses and not flexible with substitutions on the menu.",Friends,Black Iron Burger
57,floridatraveler33,19-Sep,Can’t Beat Their Meat,"That’s their motto- nobody beats our meat, and it’s pretty much true. The burger is top of the line. I had The Masterpiece which is a double burger with an egg as a crown. The meat texture and flavor were excellent. I complemented it with...More",Couples,Black Iron Burger
58,Doc S,19-Sep,totally overhyped and overpriced,"Yes the taste is good, but the burger are not huge, really not as on the Fotos from homepage.
the fries also good, but for two person it was $65 is really much to much.",Families,Black Iron Burger
59,browngirltravels,19-Aug,Not bad but not great either <U+0001F610>,"So basically the best thing about the place was the quality of the beef patty. The meat was fresh and the taste really came through. However, the food wasn’t so great that it was worth the 15 minute wait at the bar. Sorry, but I...More",Families,Black Iron Burger
60,Sightsee779839,19-Sep,Tasty AF burger and good beer ,"Went here recently, had burgers and beers,  there food was delicious and the beer was tasty. Service was everything you would expect, efficient, friendly but didn't feel rushed or forced...very small place but we didn't have to wait, went early evening, around 5/6.",Families,Black Iron Burger
61,NewJerseyMovieman,19-Sep,"Small, small place, big juicy burgers","We came on Trip Adv. recommendation. Burgers were as advised, very good. Service was good, but tables and chairs would have suited the Munchkins from the Wizard of Oz, but not normal size people.  Plastic forks and knives seemed tacky for this type of restaurant....More",Couples,Black Iron Burger
62,88ShannonK,19-Aug,Excellent burger! ,We came here for lunch and it was excellent! The atmosphere is great and the service and food were both excellent!,Solo,Black Iron Burger
63,DavidE579,19-Sep,A great burger and fries ,"We saw the reviews on line so thought we would give it a go. 

The burgers were really tasty with the service  quick and efficient. We had loaded fries which were great. 

Only negative was plastic cutlery, think of the environment.",Business,Black Iron Burger
64,Rudolia,19-Sep,Great burger in noisy settings,"A great burger and good selection of beer. But too many people in a small restaurant made it reassemble a fast food setting - which may be intentional. Definitely worth a visit, but don't go there if you are looking for a place to have...More",Friends,Black Iron Burger
65,gdalo,19-Sep,Hidden away but tasty ,"It's pretty hidden as restaurant, but if you find and try it you remain satisfied. 
Very good burgers. I tried the one with salmon variant. 
To be tried.",Couples,Black Iron Burger
66,Chellybaby73,19-Aug,Better than the hype ! ,"Read the reviews before we came to NYC and were lucky enough to be staying nearby .... expectations were high but this place blew them out of the water !!! 
Friendly attentive staff, we asked for recommendations chose both .... 1 each and they were...More",Business,Black Iron Burger
67,richbeno,19-Aug,Nothing special,"food is ok
everything about this place is just ok
lot better burger places in NY
JG Melons-Lukes-PJ Clarkes",Solo,Black Iron Burger
68,19waynel,19-Sep,Vacation lunch in Time Square.,"Like many, I love a great Hamburger. I found the Black Iron Grill and Bar by researching well before arrival. Within walking distance of our hotel, easily located. Its a long cozy place with loads of dark wood atmosphere. Great service, Menu and drinks. And.....More",Families,Black Iron Burger
69,marcolmn,19-Sep,Great gourmet burgers ,"Had dinner here on a Friday night. There was no line, so we were seated pretty quickly. My wife had the truffle burger, while I had the iberico burger (had Spanish ham on top of the patty). The burgers were juicy and tasty, so good!...More",Business,Black Iron Burger
70,Inspiration642884,19-Aug,So delicious!,I found this restaurant while searching Trip Advisor for a quick lunch place nearby. My son and I were seated promptly upon arriving. Everyone working there was friendly. Our orders were taken soon after being seated and the food came out quick. My son had...More,Solo,Black Iron Burger
71,4Welshies,19-Aug,Black Iron Burger NYC,My son suggested that we go out to this place for a burger. This is a small but very popular place to go and we can say that the food was awesome. The atmosphere was great and the service was fast and really good. Now...More,Business,Black Iron Burger
72,stevey707,19-Aug,Mouthwatering Burgers,"Really juicy and and tasty burgers at a reasonable price.

We had a burger each and large fries between 3 of us and were satisfied.",Friends,Black Iron Burger
73,skidigdug,19-Aug,Must eat,"The burgers are very flavourful, loved the onion rings. A small restaurant but only had a 15 minute wait. Worth trying while in midtown.",Couples,Black Iron Burger
74,ONW200,19-Aug,5 Stars,"Great food, atmosphere and service. Very helpful members of staff with a good sense of humour. Will return during our stay.",Couples,Black Iron Burger
75,TravelingPatrickNYC,19-Aug,"Good burger, great service, refreshing draughts","TripAdvisor told us to check out Black Iron, so naturally we did. The house special burger was a generous 2 patties of nicely seasoned beef on a toasted roll. I had the iberico which involved ham, arugula and a fried egg - it was a...More",Families,Black Iron Burger
76,WFR,19-Aug,Still got it.,"After all these years, though the sizes are a bit smaller, the quality of the burgers is still very good.  I highly recommend the ibérico one —with Spanish ham and a fried egg on top.",Families,Black Iron Burger
77,JDDenver,19-Aug,Lunch,On a quest for a damn good burger - we found it at Black Iron Burger. We arrived just before the lunch crowd - there was a line to get a table by the time we left - says a lot about BIB. We enjoyed...More,Families,Black Iron Burger
78,Darrell A,19-Aug,Delicious burger,"A small restaurant with a huge taste. The place was packed with locals, a sure sign of great food. The Mediterranean burger was awesome, so was the smoked burger. If you want a great burger in mid- town, this is the place.",Solo,Black Iron Burger
79,NicoleTraveler3,19-Jul,Oh my juicy goodness!,This burger just landed in my top 3 best burgers of all time - maybe even #1. And I’m picky with my food. We each ordered a burger; I got the truffle mushroom burger and oh boy! Perfection! We also got the garlic fries and...More,Business,Black Iron Burger
80,arthur c,19-Aug,best burger in Broadway,"the place is busy, it looks cheap... but the team is good and the burgers are delicious.
the portions are generous (to don't say big) and very tasty.
a nice place to go, and a good value for money",Solo,Black Iron Burger
81,CorkGirl1974,19-Aug,Great place and service,"Arrived for dinner with husband and 2 kids. No reservation but accommodated myself and husband at bar and kids right behind us at a table. Food was amazing. Bar tender very friendly and helpful. Waitresses friendly too. Kids had classic burger, I had one and...More",Solo,Black Iron Burger
82,andmarty68,19-Aug,Yes!,I sat at the bar and enjoyed one of the best burgers I have ever tasted.  Great service.  Great atmosphere.  A great choice!,Families,Black Iron Burger
83,Gl0betr0tterW,19-Aug,Very good ,"Sat quickly, I had beef burger and she had turkey, plus sweet potato fries and pints of cider.  
All came out quickly and was yummy. 
For desert, ice cream sandwich (they add Nutella).  Was also yummy. 
Service was attentive",Solo,Black Iron Burger
84,513ellac,19-Jul,Exceptional burgers,Wonderful burgers and sides (fried artichokes were particularly good). Great service. Highly recommended.,Friends,Black Iron Burger
85,architecte007,19-Jul,Simply the best...,"The burgers are to die for. They live up to their slogan “nobody beats our meat” 
The staff are cool and the service is great. Not far from the Port Authority Bus Terminal, this place is worth the stop especially when traveling with kids.",Families,Black Iron Burger
86,Hockeylover59,19-Jul,nice,Super casual place. If you're looking for a really good selection of beer on tap and you looking to find a great burger this is the place there's no doubt about it. It really did exceed my expectations and I will be back,Families,Black Iron Burger
87,512ky,19-Jul,Yummy,"I was here during my holiday with a friend. We had the ""The Black Iron"" and ""the Masterpiece"" Burger. Also some Truffel Fries. It was the best meat on a burger i ever had. It was kinda dark and really crowdy, but we got a...More",Families,Black Iron Burger
88,tati01lessa,19-Jul,Delicious!,Delicious burger and fries and great selection of craft beers! Definitely coming back whenever in NYC! Service was great too! Very clean with great music!,Business,Black Iron Burger
89,Mark L,19-Jul,Great Experience,Because the location is mid-block it seemed to have less people in it due to being away from the food venues and activity of 8th Ave.  It was easy to find on the north side of the street but at first it was confusing as...More,Couples,Black Iron Burger
90,Jcotta1970,19-Jul,Wow what a burger joint,"I loved this place, I was travelling solo on a business trip and just wanted to grab a good burger and a beer and this place sure delivers.  I sat at the bar at the back of the restaurant which is not very big but...More",Solo,Black Iron Burger
91,AidaBeirut,19-Jun,BIB,"Best Burger Ever. The potato dish in this picture is very delicious. A must try place will not regret, always full.",Friends,Black Iron Burger
92,Hussein M,19-May,One of the best quality Burgers in New York,"Black Iron is an understated burger restaurants with lots of surprises, from the truffle fries to quality burger combos at a very convenient location in the center of Manhattan.",Solo,Black Iron Burger
93,krin1548,19-Jul,Good Burgers,"Burgers were good, not necessarily better than anywhere else I've gone.
Fries not included in price, so a little on the pricey side for lunch with a family. Allergy friendly.
Small location, cramped. Warning if you eat with more than 6 people in your party...More",Business,Black Iron Burger
94,britabroad34,19-Jul,Juicy burgers,"Ate here today and shared their black iron burger and fries patatas bravas. The burger was juicy and cooked to perfection and the fries were great. More than enough for 2 people to share for a lunch. Burgers, fries and service came to $28 so...More",Solo,Black Iron Burger
95,KevinWsh,18-Dec,Brilliant,"Great place in Manhattan! Burguers, though they were pricey, were delicious. I strongly recommend this informal restaurant, service was also really good.",Couples,Black Iron Burger
96,akadad,19-Jul,Too many headachea,Not family friendly at all. We were with a four year old. They wouldn’t accommodate anything we asked for. Even as simple as a burger without the meat (cheese and bread). Said the kitchen couldn’t handle it.  Once the order came out we understood why....More,Solo,Black Iron Burger
97,Gary T,19-Jun,I liked this place,"We grabbed burgers here late on a Sunday night and while pricey for burgers they were pretty good.

I had the Black Iron medium rare and it arrived as ordered and it tasty for every bite.

My wife and daughter both did Classic burgers build...More",Business,Black Iron Burger
98,spencerm952,19-Jun,Rated way too high on trip advisor.,"This burger was terrible, don’t believe the reviews. If Hopdody in Austin,TX is a 9 or 10, this place is a 4.",Couples,Black Iron Burger
99,Brian W,19-Jun,Simply Amazing ,Found this on TripAdvisor listed as one of the best in the big Apple and that wasn’t a lie everything about it was great,Solo,Black Iron Burger
100,wemarionFishnGolf,19-Jun,Incredible Truffle Burger,"Wanted a craft burger and was not disappointed with a killer black truffle burger and aoli fries... and topped off with a local Coney Island Pilsner. While the burger prices aren’t cheap, the quality MORE than made up for the price. Superb truffle, mushroom, cheese,...More",Solo,Black Iron Burger
101,beanamerican,19-Jun,Great Burger at a NYC Price,Burger was very tasty.  They have specialty burgers and the option to create your own al a carte.  We got food there to get something more towards the local side right around the corner from seeing Aladdin on Broadway.  Had a great time!,Families,Black Iron Burger
102,zaiazaind,19-Jun,Lunch in NY,The burgers are dry but they have special sauces that makes it mouth watering.  The truffle fries are delicious.,Friends,Black Iron Burger
103,VickyH769,19-May,Best burger,I’d researched best burger places in New York and came across this one. We dined on our last night in New York and I can honestly say this was the best burger I’ve ever had; it was amazing! I had the truffle burger and it...More,Friends,Black Iron Burger
104,JimenaPerez,19-Jun,Good Burgers in Midtown,"Very tasty burgers and fries. Excellent selection of beers. Good for a quick meal while visiting, also good for family lunch in NY.",Business,Black Iron Burger
105,DJM1965,19-Jun,Black Iron Burger Flatbush Ave Brooklyn,"Can’t find a separate entry for the Black Iron Burger joint in Brooklyn so posted entry here (presumably a small chain). 

My wife, son and I had an early evening meal at the Brooklyn branch at the end of our NYC holiday, before heading to...More",Couples,Black Iron Burger
106,Sally K,19-May,Nom nom nom!  Delicious burgers for veggies and carnivores alike,"Ate at Black Iron Burger with my husband.  OMG they are good burgers!  I am a vegetarian, my husband is a devoted carnivore.  Both of us loved our meal and the service was fun and friendly too.  Thanks all, really enjoyed it and will definitely...More",Business,Black Iron Burger
107,jbs5665,19-May,It's a must!,"Best burger in NYC and possibly the best burgers we've ever had. It was quick for a sit-down restaurant with good service. Seriously, if you're burger people, this should definitely be a stop you make while in NYC. Close to Times Square as well!",Families,Black Iron Burger
108,ThelmaMW18,19-Jun,Definetly worth a visit!,"I had booked in at Black Iron burger for our first night in New York as it was nearby to our hotel and I had read some pretty impressive reviews online - and the experience didn’t disappoint! Service, drinks and most importantly the food was...More",Friends,Black Iron Burger
109,Yvonne F,19-May,Delicious!,We popped in here whilst sightseeing in the area.  It had been recommended to me by a friend and it didn't disappoint.  We had to wait a little while for a table as the place was heaving (usually a good sign!) but they were quick...More,Friends,Black Iron Burger
110,MariMoni,19-Jun,It's so good!! You HAVE to try it.,"This place has exceeded my expectations! Small cozy place. Nothing fancy but a perfect environment for a delicious burger joint. 
We ordered custom burgers.. everything was perfect, from taste to presentation. My husband had the truffle fries that were the best we've had. And I...More",Business,Black Iron Burger
111,shellz66,19-May,Late night stop,"Popped in for a drink and ordered the Aoili fries .....  wow!  These were soooo good!  My drink was strong as well, funky little place, we sat at the back bar and it was pretty busy.  Would go again....for the fries ;)",Couples,Black Iron Burger
112,coyneemma1,19-May,Literally amazing burgers,Loaded fries... juicy burgers... awesome toppings... cheeeeeese... this place is fantastic and you have to go! Make a booking of course.,Solo,Black Iron Burger
113,Modaddy99,19-May,"Small Place, Big Tastes","Picked this restaurant as I like to eat local on the road. While this place is tucked away in an alley style layout, the food delivers big on taste. The Cesar Salad for starters was the right size to share for 2, the burgers were...More",Families,Black Iron Burger
114,NWG1984,19-May,Lunch ,"Looked on trip advisor for recommendations and this restaurant did not disappoint. Very good burgers and fries. We stopped in for lunch. The staff were
Very friendly and attentive.",Business,Black Iron Burger
115,scbcme,19-Mar,Excellent Burgers & Beer,While waiting for check in at our hotel we found this highly reviewed burger join a couple of blocks away. The was a great selection of burger options and the wait staff was very helpful at answering our questions. There was also a nice array...More,Solo,Black Iron Burger
116,manowie,19-May,Great,"Enough to choose from. Good prices, lovely taste, fast service, friendly staff.

Cozy atmosphere. Local people who eat here.

I would recommend to eat your burger here.",Solo,Black Iron Burger
117,WesCrutcher,19-May,Exactly as Described ,"I was expecting an epic burger, and that’s what I received.  Great service, tasty beer selection.  The beef was pretty much faultless, which is great after some of the lesser cuts I’ve had in the US.",Solo,Black Iron Burger
118,richardfG3927BA,19-May,Can’t miss this gem of a place ,This is within doubt “The Best Burger I Have Ever Tasted”. My wife had the Special Lamb Burger which was equally as good. Loaded fries amazing and onion rings were fantastic. The staff are super friendly and real helpful. Food cooked to perfection and ready...More,Friends,Black Iron Burger
119,TheTravellingWilsons,19-Apr,Great burgers!,This was the tastiest meal of our stay in NYC. The burgers were delicious. Staff were friendly and we were lucky to get a table immediately. The restaurant is a bit ‘rough and ready’ and definitely not a glamorous place to eat. More of an...More,Couples,Black Iron Burger
120,DelMartraveljunkie,19-Apr,Awesome burgers,"For couples, families or just friends this casual pub food is the best. Be sure and order the onion rings.",Friends,Black Iron Burger
121,sharon n,19-Mar,Amazing Burger,"We were going to see Elton John at Madison Square Garden so googled places nearby to eat and this came up , so glad we did , great atmosphere , drinks very reasonable and the Burgers were fantastic.
Definitely the tastiest and cheapest meal we...More",Business,Black Iron Burger
122,AnthonyM59,19-Apr,My best ever burger,Just arrived in NYC from the UK that afternoon and wanted something to eat. We looked at menu at Bens just down the road but my daughter didn’t fancy it. Looked up trip advisor and discovered this and thought we’d try it. I think we...More,Families,Black Iron Burger
123,Laura M,19-Apr,The Best Burger In The City,"It is a quaint and friendly place, people and staff are all so friendly it's like being out with friends.  Food was amazing, burgers were juicy, tasty.  All and all it was just a great experience and the truffle fries...a must try.  If you are...More",Friends,Black Iron Burger
124,LollysLook,19-Apr,Juicy Burgers,"Sometimes you just want a big juicy burger! The Black Iron burger has delicious burgers prepTed with all toppings. We enjoyed the fries, burgers and Moscow Mules.",Couples,Black Iron Burger
125,redneckandprincess,19-Apr,"Great food, great atmosphere ","We found this place out of pure happenstance and it was great.  Service was great got a table on a Friday night without a reservation.  Place was packed we had to wait 25 min for a table but I’m so glad we did.  
   Service was...More",Couples,Black Iron Burger
126,Jonnadivo,19-Mar,Nothing special,"I have no idea why people give high rates. This spot is poor in hospitality. We visited on Thursday. The burguers are good, but bad cooked, and the fries... they add some ingredients, so you think they are different...but honestly they are not. The staff...More",Couples,Black Iron Burger
