,Review
103,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious."
104,This is one of the better buffets that I have been to.
105,So we went to Tigerlilly and had a fantastic afternoon!
106,"The food was delicious, our bartender was attentive and personable AND we got a great deal!"
107,The ambience is wonderful and there is music playing.
108,Will go back next trip out.
109,Sooooo good!!
110,"REAL sushi lovers, let's be honest - Yama is not that good."
111,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy."
112,This is a really fantastic Thai restaurant which is definitely worth a visit.
113,"Nice, spicy and tender."
114,Good prices.
115,Check it out.
116,It was pretty gross!
117,I've had better atmosphere.
118,Kind of hard to mess up a steak but they did.
119,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing."
120,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.
121,"Worst service to boot, but that is the least of their worries."
122,Service was fine and the waitress was friendly.
123,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten."
124,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night."
125,"Host staff were, for lack of a better word, BITCHES!"
126,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...
127,"Phenomenal food, service and ambiance."
128,I wouldn't return.
129,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas."
130,This place is way too overpriced for mediocre food.
131,Penne vodka excellent!
132,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers."
133,The management is rude.
134,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even."
135,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations."
136,I had a seriously solid breakfast here.
137,This is one of the best bars with food in Vegas.
138,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas."
139,My drink was never empty and he made some really great menu suggestions.
140,Don't do it!!!!
141,The waiter wasn't helpful or friendly and rarely checked on us.
142,My husband and I ate lunch here and were very disappointed with the food and service.
143,And the red curry had so much bamboo shoots and wasn't very tasty to me.
144,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.
145,The bathrooms are clean and the place itself is well decorated.
146,"The menu is always changing, food quality is going down & service is extremely slow."
147,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace."
148,I give it 2 thumbs down
149,We watched our waiter pay a lot more attention to other tables and ignore us.
150,My fiancé and I came in the middle of the day and we were greeted and seated right away.
151,This is a great restaurant at the Mandalay Bay.
152,We waited for forty five minutes in vain.
153,Crostini that came with the salad was stale.
154,Some highlights : Great quality nigiri here!
155,the staff is friendly and the joint is always clean.
156,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.
157,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.
158,this place is good.
159,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE."
160,I came back today since they relocated and still not impressed.
161,I was seated immediately.
162,"Their menu is diverse, and reasonably priced."
163,Avoid at all cost!
164,Restaurant is always full but never a wait.
165,DELICIOUS!!
166,This place is hands-down one of the best places to eat in the Phoenix metro area.
167,So don't go there if you are looking for good food...
168,I've never been treated so bad.
169,Bacon is hella salty.
170,"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste."
171,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed."
172,The waitresses are very friendly.
173,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!"
174,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.
175,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back."
176,The service here leaves a lot to be desired.
177,"The atmosphere is modern and hip, while maintaining a touch of coziness."
178,"Not a weekly haunt, but definitely a place to come back to every once in a while."
179,We literally sat there for 20 minutes with no one asking to take our order.
180,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor."
181,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.
182,I dressed up to be treated so rudely!
183,It was probably dirt.
184,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor."
185,I ordered the Lemon raspberry ice cocktail which was also incredible.
186,"The food sucked, which we expected but it sucked more than we could have imagined."
187,Interesting decor.
188,What I really like there is the crepe station.
189,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good."
190,you can watch them preparing the delicious food!)
191,Both of the egg rolls were fantastic.
192,"When my order arrived, one of the gyros was missing."
193,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied."
194,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.
195,The best place to go for a tasty bowl of Pho!
196,The live music on Fridays totally blows.
197,I've never been more insulted or felt disrespected.
198,Very friendly staff.
199,It is worth the drive.
200,"I had heard good things about this place, but it exceeding every hope I could have dreamed of."
201,Food was great and so was the serivce!
202,The warm beer didn't help.
203,Great brunch spot.
204,Service is friendly and inviting.
205,Very good lunch spot.
206,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.
207,The WORST EXPERIENCE EVER.
208,Must have been an off night at this place.
209,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous."
210,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen."
211,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon."
212,My friend loved the salmon tartar.
213,Won't go back.
214,Extremely Tasty!
215,Waitress was good though!
216,Soggy and not good.
217,The Jamaican mojitos are delicious.
218,Which are small and not worth the price.
219,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!"
220,The service was a bit lacking.
221,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables."
222,Hopefully this bodes for them going out of business and someone who can cook can come in.
223,"It was either too cold, not enough flavor or just bad."
224,I loved the bacon wrapped dates.
225,This is an unbelievable BARGAIN!
226,The folks at Otto always make us feel so welcome and special.
227,"As for the ""mains,"" also uninspired."
228,This is the place where I first had pho and it was amazing!!
229,This wonderful experience made this place a must-stop whenever we are in town again.
230,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people."
231,Very very fun chef.
232,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks."
233,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.
234,"If it were possible to give them zero stars, they'd have it."
235,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them."
236,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing)."
237,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.
238,"Everyone is very attentive, providing excellent customer service."
239,Horrible - don't waste your time and money.
240,Now this dish was quite flavourful.
241,By this time our side of the restaurant was almost empty so there was no excuse.
242,"(It wasn't busy either) Also, the building was FREEZING cold."
243,"like the other reviewer said ""you couldn't pay me to eat at this place again."""
244,-Drinks took close to 30 minutes to come out at one point.
245,"Seriously flavorful delights, folks."
246,Much better than the other AYCE sushi place I went to in Vegas.
247,The lighting is just dark enough to set the mood.
248,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.
249,Owner's are really great people.!
250,There is nothing privileged about working/eating there.
251,The Greek dressing was very creamy and flavorful.
252,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too."
253,Now the pizza itself was good the peanut sauce was very tasty.
254,We had 7 at our table and the service was pretty fast.
255,Fantastic service here.
256,I as well would've given godfathers zero stars if possible.
257,They know how to make them here.
258,very tough and very short on flavor!
259,I hope this place sticks around.
260,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water."
261,The restaurant atmosphere was exquisite.
262,"Good service, very clean, and inexpensive, to boot!"
263,The seafood was fresh and generous in portion.
264,"Plus, it's only 8 bucks."
265,"The service was not up to par, either."
266,"Thus far, have only visited twice and the food was absolutely delicious each time."
267,Just as good as when I had it more than a year ago!
268,"For a self proclaimed coffee cafe, I was wildly disappointed."
269,The Veggitarian platter is out of this world!
270,You cant go wrong with any of the food here.
271,You can't beat that.
272,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff."
273,The chefs were friendly and did a good job.
274,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho."
275,I liked the patio and the service was outstanding.
276,The goat taco didn't skimp on the meat and wow what FLAVOR!
277,I think not again
278,I had the mac salad and it was pretty bland so I will not be getting that again.
279,I went to Bachi Burger on a friend's recommendation and was not disappointed.
280,Service stinks here!
281,I waited and waited.
282,"This place is not quality sushi, it is not a quality restaurant."
283,I would definitely recommend the wings as well as the pizza.
284,Great Pizza and Salads!
285,Things that went wrong: - They burned the saganaki.
286,We waited an hour for what was a breakfast I could have done 100 times better at home.
287,This place is amazing!
288,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place."
289,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!
290,Just don't know why they were so slow.
291,"The staff is great, the food is delish, and they have an incredible beer selection."
292,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location."
293,I didn't know pulled pork could be soooo delicious.
294,"You get incredibly fresh fish, prepared with care."
295,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.
296,I love the fact that everything on their menu is worth it.
297,Never again will I be dining at this place!
298,The food was excellent and service was very good.
299,Good beer & drink selection and good food selection.
300,Please stay away from the shrimp stir fried noodles.
301,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.
302,Food was really boring.
303,Good Service-check!
304,This greedy corporation will NEVER see another dime from me!
305,"Will never, ever go back."
306,"As much as I'd like to go back, I can't get passed the atrocious service and will never return."
307,"In the summer, you can dine in a charming outdoor patio - so very delightful."
308,I did not expect this to be so good!
309,Fantastic food!
310,She ordered a toasted English muffin that came out untoasted.
311,The food was very good.
312,Never going back.
313,"Great food for the price, which is very high quality and house made."
314,The bus boy on the other hand was so rude.
315,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known."
316,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways."
317,"And considering the two of us left there very full and happy for about $20, you just can't go wrong."
318,All the bread is made in-house!
319,The only downside is the service.
320,"Also, the fries are without a doubt the worst fries I've ever had."
321,Service was exceptional and food was a good as all the reviews.
322,"A couple of months later, I returned and had an amazing meal."
323,Favorite place in town for shawarrrrrrma!!!!!!
324,The black eyed peas and sweet potatoes... UNREAL!
325,You won't be disappointed.
326,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good."
327,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00."
328,When my mom and I got home she immediately got sick and she only had a few bites of salad.
329,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.
330,"Both of them were truly unbelievably good, and I am so glad we went back."
331,"We had fantastic service, and were pleased by the atmosphere."
332,Everything was gross.
333,I love this place.
334,Great service and food.
335,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!
336,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed."
337,"OMG, the food was delicioso!"
338,There is nothing authentic about this place.
339,the spaghetti is nothing special whatsoever.
340,"Of all the dishes, the salmon was the best, but all were great."
341,The vegetables are so fresh and the sauce feels like authentic Thai.
342,It's worth driving up from Tucson!
343,The selection was probably the worst I've seen in Vegas.....there was none.
344,Pretty good beer selection too.
345,"This place is like Chipotle, but BETTER."
346,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!"
347,5 stars for the brick oven bread app!
348,"I have eaten here multiple times, and each time the food was delicious."
349,We sat another ten minutes and finally gave up and left.
350,He was terrible!
351,Everyone is treated equally special.
352,It shouldn't take 30 min for pancakes and eggs.
353,It was delicious!!!
354,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat."
355,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas."
356,As always the evening was wonderful and the food delicious!
357,Best fish I've ever had in my life!
358,(The bathroom is just next door and very nice.)
359,The buffet is small and all the food they offered was BLAND.
360,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.
361,Pretty cool I would say.
362,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.
363,Server did a great job handling our large rowdy table.
364,"I find wasting food to be despicable, but this just wasn't food."
365,My wife had the Lobster Bisque soup which was lukewarm.
366,Would come back again if I had a sushi craving while in Vegas.
367,"The staff are great, the ambiance is great."
368,He deserves 5 stars.
369,I left with a stomach ache and felt sick the rest of the day.
370,They dropped more than the ball.
371,"The dining space is tiny, but elegantly decorated and comfortable."
372,"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!"
373,And the beans and rice were mediocre at best.
374,Best tacos in town by far!!
375,I took back my money and got outta there.
376,"In an interesting part of town, this place is amazing."
377,RUDE & INCONSIDERATE MANAGEMENT.
378,"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes."
379,I won't be back.
380,They have great dinners.
381,The service was outshining & I definitely recommend the Halibut.
382,The food was terrible.
383,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.
384,I don't recommend unless your car breaks down in front of it and you are starving.
385,I will come back here every time I'm in Vegas.
386,This place deserves one star and 90% has to do with the food.
387,This is a disgrace.
388,Def coming back to bowl next time
389,"If you want healthy authentic or ethic food, try this place."
390,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.
391,"I have been here several times in the past, and the experience has always been great."
392,We walked away stuffed and happy about our first Vegas buffet experience.
393,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.
394,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser."
395,I'm probably one of the few people to ever go to Ians and not like it.
396,Kids pizza is always a hit too with lots of great side dish options for the kiddos!
397,Service is perfect and the family atmosphere is nice to see.
398,Cooked to perfection and the service was impeccable.
399,This one is simply a disappointment.
400,"Overall, I was very disappointed with the quality of food at Bouchon."
401,I don't have to be an accountant to know I'm getting screwed!
402,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area."
403,Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.
404,Left very frustrated.
405,I'll definitely be in soon again.
406,Food was really good and I got full petty fast.
407,Service was fantastic.
408,TOTAL WASTE OF TIME.
409,I don't know what kind it is but they have the best iced tea.
410,"Come hungry, leave happy and stuffed!"
411,"For service, I give them no stars."
412,I can assure you that you won't be disappointed.
413,I can take a little bad service but the food sucks.
414,Gave up trying to eat any of the crust (teeth still sore).
415,But now I was completely grossed out.
416,I really enjoyed eating here.
417,First time going but I think I will quickly become a regular.
418,"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end."
419,From what my dinner companions told me...everything was very fresh with nice texture and taste.
420,"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop."
421,"Furthermore, you can't even find hours of operation on the website!"
422,We've tried to like this place but after 10+ times I think we're done with them.
423,What a mistake that was!
424,No complaints!
425,This is some seriously good pizza and I'm an expert/connisseur on the topic.
426,Waiter was a jerk.
427,"Strike 2, who wants to be rushed."
428,These are the nicest restaurant owners I've ever come across.
429,I never come again.
430,We loved the biscuits!!!
431,Service is quick and friendly.
432,Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.
433,So absolutley fantastic.
434,It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.
435,definitely will come back here again.
436,I like Steiners because it's dark and it feels like a bar.
437,Wow very spicy but delicious.
438,"If you're not familiar, check it out."
439,I'll take my business dinner dollars elsewhere.
440,I'd love to go back.
441,"Anyway, this FS restaurant has a wonderful breakfast/lunch."
442,Nothing special.
443,Each day of the week they have a different deal and it's all so delicious!
444,"Not to mention the combination of pears, almonds and bacon is a big winner!"
445,Will not be back.
446,Sauce was tasteless.
447,"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way."
448,My ribeye steak was cooked perfectly and had great mesquite flavor.
449,I don't think we'll be going back anytime soon.
450,Food was so gooodd.
451,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.
452,I was so insulted.
453,The last 3 times I had lunch here has been bad.
454,The chicken wings contained the driest chicken meat I have ever eaten.
455,"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc."
456,Nargile - I think you are great.
457,Best tater tots in the southwest.
458,We loved the place.
459,Definitely not worth the $3 I paid.
460,The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.
461,Im in AZ all the time and now have my new spot.
462,The manager was the worst.
463,The inside is really quite nice and very clean.
464,The food was outstanding and the prices were very reasonable.
465,I don't think I'll be running back to Carly's anytime soon for food.
466,"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things."
467,"Love the margaritas, too!"
468,This was my first and only Vegas buffet and it did not disappoint.
469,"Very good, though!"
470,The one down note is the ventilation could use some upgrading.
471,Great pork sandwich.
472,Don't waste your time here.
473,"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee."
474,"Third, the cheese on my friend's burger was cold."
475,We enjoy their pizza and brunch.
476,The steaks are all well trimmed and also perfectly cooked.
477,We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.
478,I LOVED it!
479,We asked for the bill to leave without eating and they didn't bring that either.
480,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here."
481,Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.
482,The selection of food was not the best.
483,Delicious and I will absolutely be back!
484,"This isn't a small family restaurant, this is a fine dining establishment."
485,They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.
486,I dont think I will be back for a very long time.
487,"It was attached to a gas station, and that is rarely a good sign."
488,How awesome is that.
489,I will be back many times soon.
490,The menu had so much good stuff on it i could not decide!
491,"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings."
492,CONCLUSION: Very filling meals.
493,Their daily specials are always a hit with my group.
494,And then tragedy struck.
495,The pancake was also really good and pretty large at that.
496,"This was my first crawfish experience, and it was delicious!"
497,Their monster chicken fried steak and eggs is my all time favorite.
498,Waitress was sweet and funny.
499,"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!"
500,"I'd rather eat airline food, seriously."
501,Cant say enough good things about this place.
502,The ambiance was incredible.
503,The waitress and manager are so friendly.
504,I would not recommend this place.
505,Overall I wasn't very impressed with Noca.
506,My gyro was basically lettuce only.
507,Terrible service!
508,Thoroughly disappointed!
509,"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here."
510,"Give it a try, you will be happy you did."
511,By far the BEST cheesecurds we have ever had!
512,Reasonably priced also!
513,Everything was perfect the night we were in.
514,The food is very good for your typical bar food.
515,it was a drive to get there.
516,"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff."
517,"Anyway, I do not think i will go back there."
518,"Point your finger at any item on the menu, order it and you won't be disappointed."
519,"Oh this is such a thing of beauty, this restaurant."
520,If you haven't gone here GO NOW!
521,"A greasy, unhealthy meal."
522,first time there and might just be the last.
523,Those burgers were amazing.
524,"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late."
525,And it was way to expensive.
526,"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for."
527,This was my first time and I can't wait until the next.
528,The bartender was also nice.
529,Everything was good and tasty!
530,This place is two thumbs up....way up.
531,"The best place in Vegas for breakfast (just check out a Sat, or Sun."
532,"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place."
533,Terrible management.
534,An excellent new restaurant by an experienced Frenchman.
535,If there were zero stars I would give it zero stars.
536,"Great steak, great sides, great wine, amazing desserts."
537,Worst martini ever!
538,The steak and the shrimp are in my opinion the best entrees at GC.
539,I had the opportunity today to sample your amazing pizzas!
540,We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).
541,The yellowtail carpaccio was melt in your mouth fresh.
542,I won't try going back there even if it's empty.
543,"No, I'm going to eat the potato that I found some strangers hair in it."
544,Just spicy enough.. Perfect actually.
545,Last night was my second time dining here and I was so happy I decided to go back!
546,"not even a ""hello, we will be right with you."""
547,The desserts were a bit strange.
548,My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.
549,"I really do recommend this place, you can go wrong with this donut place!"
550,Nice ambiance.
551,I would recommend saving room for this!
552,I guess maybe we went on an off night but it was disgraceful.
553,"However, my recent experience at this particular location was not so good."
554,"I know this is not like the other restaurants at all, something is very off here!"
555,AVOID THIS ESTABLISHMENT!
556,I think this restaurant suffers from not trying hard enough.
557,All of the tapas dishes were delicious!
558,I *heart* this place.
559,My salad had a bland vinegrette on the baby greens and hearts of Palm.
560,After two I felt disgusting.
561,A good time!
562,I believe that this place is a great stop for those with a huge belly and hankering for sushi.
563,Generous portions and great taste.
564,I will never go back to this place and will never ever recommended this place to anyone!
565,"The servers went back and forth several times, not even so much as an ""Are you being helped?"""
566,Food was delicious!
567,AN HOUR... seriously?
568,I consider this theft.
569,Eew... This location needs a complete overhaul.
570,We recently witnessed her poor quality of management towards other guests as well.
571,Waited and waited and waited.
572,"He also came back to check on us regularly, excellent service."
573,Our server was super nice and checked on us many times.
574,"The pizza tasted old, super chewy in not a good way."
575,I swung in to give them a try but was deeply disappointed.
576,Service was good and the company was better!
577,The staff are also very friendly and efficient.
578,"As for the service: I'm a fan, because it's quick and you're being served by some nice folks."
579,Boy was that sucker dry!!.
580,Over rated.
581,"If you look for authentic Thai food, go else where."
582,Their steaks are 100% recommended!
583,After I pulled up my car I waited for another 15 minutes before being acknowledged.
584,Great food and great service in a clean and friendly setting.
585,"All in all, I can assure you I'll be back."
586,I hate those things as much as cheap quality black olives.
587,"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar."
588,The kids play area is NASTY!
589,Great place fo take out or eat in.
590,The waitress was friendly and happy to accomodate for vegan/veggie options.
591,OMG I felt like I had never eaten Thai food until this dish.
592,"It was extremely ""crumby"" and pretty tasteless."
593,It was a pale color instead of nice and char and has NO flavor.
594,The croutons also taste homemade which is an extra plus.
595,I got home to see the driest damn wings ever!
596,It'll be a regular stop on my trips to Phoenix!
597,I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.
598,Not good for the money.
599,I miss it and wish they had one in Philadelphia!
600,"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived."
601,They also have the best cheese crisp in town.
602,"Good value, great food, great service."
603,Couldn't ask for a more satisfying meal.
604,The food is good.
605,It was awesome.
606,I just wanted to leave.
607,We made the drive all the way from North Scottsdale... and I was not one bit disappointed!
608,I will not be eating there again.
609,!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!
610,I checked out this place a couple years ago and was not impressed.
611,"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy."
612,"Sorry, I will not be getting food from here anytime soon :("
613,An absolute must visit!
