Nickname,Review,Liked
Sprite4it,this place is good.,1
lew1sy,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0
CMastication,I came back today since they relocated and still not impressed.,0
Annie134873511,I was seated immediately.,1
MikeDoesData,"Their menu is diverse, and reasonably priced.",1
NancyTr83158469,Avoid at all cost!,0
hrbrmstr,Restaurant is always full but never a wait.,1
R4DScommunity,DELICIOUS!!,1
paulapivat,This place is hands-down one of the best places to eat in the Phoenix metro area.,1
benjaminwnelson,So don't go there if you are looking for good food...,0
Atsushi776,I've never been treated so bad.,0
DermitMaria,Bacon is hella salty.,1
benj_robinson,"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0
JoshuaFeIdman,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1
LittleMissData,The waitresses are very friendly.,1
IsabelCabreraR,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1
zac_garland_,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1
RedLabelAI,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0
alexcookson,The service here leaves a lot to be desired.,0
frasermorton,"The atmosphere is modern and hip, while maintaining a touch of coziness.",1
EmilyRiederer,"Not a weekly haunt, but definitely a place to come back to every once in a while.",1
everythingCour1,We literally sat there for 20 minutes with no one asking to take our order.,0
Alex_Koiter,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0
yoniceedee,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0
demography101,I dressed up to be treated so rudely!,0
BarryChocolate,It was probably dirt.,0
FBaudron,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1
EdKwedar,I ordered the Lemon raspberry ice cocktail which was also incredible.,1
YourTechDiet,"The food sucked, which we expected but it sucked more than we could have imagined.",0
datascienceplus,Interesting decor.,1
stats_map,What I really like there is the crepe station.,1
jessenleon,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1
MariusPascariu,you can watch them preparing the delicious food!),1
lauretig,Both of the egg rolls were fantastic.,1
MiriamAsensi,"When my order arrived, one of the gyros was missing.",0
Programmingbea2,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1
dirk_sch,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0
editorijsmi,The best place to go for a tasty bowl of Pho!,1
thosjleeper,The live music on Fridays totally blows.,0
gavinprm,I've never been more insulted or felt disrespected.,0
TechTweet24h,Very friendly staff.,1
DataChaz,It is worth the drive.,1
BlackfreeNiken,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1
headhunterchron,Food was great and so was the serivce!,1
bttomio,The warm beer didn't help.,0
LearnRinaDay,Great brunch spot.,1
dr_keithmcnulty,Service is friendly and inviting.,1
KDrakoulaki,Very good lunch spot.,1
olyerickson,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0
erolsogut,The WORST EXPERIENCE EVER.,0
ReyssatF,Must have been an off night at this place.,0
Vdot_Spain,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1
tomstafford,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0
CatherineAdenle,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0
HydroUK2020,My friend loved the salmon tartar.,1
9Course,Won't go back.,0
mnaotech,Extremely Tasty!,1
ProgrammingNin1,Waitress was good though!,1
samadahmad30,Soggy and not good.,0
kustav_sen,The Jamaican mojitos are delicious.,1
gejimer,Which are small and not worth the price.,0
course_net,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0
ElenLeFoll,The service was a bit lacking.,0
Ceo_Branding,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0
UsmanSh88723716,Hopefully this bodes for them going out of business and someone who can cook can come in.,0
Dom_Makowski,"It was either too cold, not enough flavor or just bad.",0
Doxyaxone,I loved the bacon wrapped dates.,1
SeidenstickerD,This is an unbelievable BARGAIN!,1
GlenGilmore,The folks at Otto always make us feel so welcome and special.,1
healthandstats,"As for the ""mains,"" also uninspired.",0
Gege1979,This is the place where I first had pho and it was amazing!!,1
DrMowinckels,This wonderful experience made this place a must-stop whenever we are in town again.,1
salahud97419770,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0
the_speaker25,Very very fun chef.,1
imdshadab,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0
geokaramanis,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1
adircinho,"If it were possible to give them zero stars, they'd have it.",0
ZachSmithingell,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0
birusod,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1
sshitalkumar,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0
FmFrancoise,"Everyone is very attentive, providing excellent customer service.",1
Leilanie95,Horrible - don't waste your time and money.,0
techopcode,Now this dish was quite flavourful.,1
thisisgulshan,By this time our side of the restaurant was almost empty so there was no excuse.,0
bjungbogati,"(It wasn't busy either) Also, the building was FREEZING cold.",0
HeptagonTech,"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0
sachintha_wije,-Drinks took close to 30 minutes to come out at one point.,0
charlie_verdel,"Seriously flavorful delights, folks.",1
jon_y_huang,Much better than the other AYCE sushi place I went to in Vegas.,1
rhlvenugopal,The lighting is just dark enough to set the mood.,1
mariumtapal,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0
kariisssaaa,Owner's are really great people.!,1
PipingHotData,There is nothing privileged about working/eating there.,0
pachamaltese,The Greek dressing was very creamy and flavorful.,1
sellorm,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0
Jas_Hughes,Now the pizza itself was good the peanut sauce was very tasty.,1
Mayari_MOca,We had 7 at our table and the service was pretty fast.,1
li_thal1,Fantastic service here.,1
slhoavcek,I as well would've given godfathers zero stars if possible.,0
showalterdn,They know how to make them here.,1
statquant,very tough and very short on flavor!,0
AleMedinaRivera,I hope this place sticks around.,1
daniteixeira___,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0
import_jmr,The restaurant atmosphere was exquisite.,1
suziproibida,"Good service, very clean, and inexpensive, to boot!",1
THenechowicz,The seafood was fresh and generous in portion.,1
SimonJGreenhill,"Plus, it's only 8 bucks.",1
fmic_,"The service was not up to par, either.",0
DanielAKeane10,"Thus far, have only visited twice and the food was absolutely delicious each time.",1
mfczap,Just as good as when I had it more than a year ago!,1
alistaire,"For a self proclaimed coffee cafe, I was wildly disappointed.",0
Rami_Krispin,The Veggitarian platter is out of this world!,1
EnvReportBC,You cant go wrong with any of the food here.,1
jhollist,You can't beat that.,1
GrantChalmers,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1
Josh_Ebner,The chefs were friendly and did a good job.,1
simopicardi,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0
DrLeo037,I liked the patio and the service was outstanding.,1
ilwt91s,The goat taco didn't skimp on the meat and wow what FLAVOR!,1
Sheraj99,I think not again,0
keatonwilson,I had the mac salad and it was pretty bland so I will not be getting that again.,0
Rhiannon_Kirton,I went to Bachi Burger on a friend's recommendation and was not disappointed.,1
WilliamsNeuro,Service stinks here!,0
DouglasKGAraujo,I waited and waited.,0
historying,"This place is not quality sushi, it is not a quality restaurant.",0
AngieMontaez8,I would definitely recommend the wings as well as the pizza.,1
Jemus42,Great Pizza and Salads!,1
kdpsinghlab,Things that went wrong: - They burned the saganaki.,0
CaseyDelehanty,We waited an hour for what was a breakfast I could have done 100 times better at home.,0
Physical_Prep,This place is amazing!,1
eamcvey,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0
real_straxxxes,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0
mrworthington,Just don't know why they were so slow.,0
arjunsbaghela,"The staff is great, the food is delish, and they have an incredible beer selection.",1
nbarrowman,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0
elcheff,I didn't know pulled pork could be soooo delicious.,1
SIRDonnergott,"You get incredibly fresh fish, prepared with care.",1
jacklich10,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0
nceas,I love the fact that everything on their menu is worth it.,1
gamejobsglobal,Never again will I be dining at this place!,0
deborascience,The food was excellent and service was very good.,1
Lluis_Revilla,Good beer & drink selection and good food selection.,1
d_olivaw,Please stay away from the shrimp stir fried noodles.,0
DextraordinaryH,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0
mwchmielewski,Food was really boring.,0
tipsder,Good Service-check!,1
JosephTumber,This greedy corporation will NEVER see another dime from me!,0
adamson,"Will never, ever go back.",0
sctyner,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0
MaraAlexeev,"In the summer, you can dine in a charming outdoor patio - so very delightful.",1
Kunkakom,I did not expect this to be so good!,1
quaesita,Fantastic food!,1
dlschafer,She ordered a toasted English muffin that came out untoasted.,0
billbikes,The food was very good.,1
superboreen,Never going back.,0
stoltzmaniac,"Great food for the price, which is very high quality and house made.",1
Binette228,The bus boy on the other hand was so rude.,0
DylanTaillie,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0
NorthLattitude,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1
isezen,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1
_J_sinclair,All the bread is made in-house!,1
spcanelon,The only downside is the service.,0
JamesBland_Econ,"Also, the fries are without a doubt the worst fries I've ever had.",0
mjskay,Service was exceptional and food was a good as all the reviews.,1
CedScherer,"A couple of months later, I returned and had an amazing meal.",1
ShannonSkalos,Favorite place in town for shawarrrrrrma!!!!!!,1
McconnellKyla,The black eyed peas and sweet potatoes... UNREAL!,1
GridDBCommunity,You won't be disappointed.,1
pakdamie,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1
TheloniousGoerz,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0
gavg712,When my mom and I got home she immediately got sick and she only had a few bites of salad.,0
ChelseaParlett,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0
DrDavidJeffery,"Both of them were truly unbelievably good, and I am so glad we went back.",1
rstudio,"We had fantastic service, and were pleased by the atmosphere.",1
Miles_Ott,Everything was gross.,0
MichaelDorman84,I love this place.,1
Juanma_MN,Great service and food.,1
joftius,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0
DetlefBurkhardt,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0
philmassicotte,"OMG, the food was delicioso!",1
dorianhmekni,There is nothing authentic about this place.,0
thomas_mock,the spaghetti is nothing special whatsoever.,0
melina__much,"Of all the dishes, the salmon was the best, but all were great.",1
CivicAngela,The vegetables are so fresh and the sauce feels like authentic Thai.,1
rstudiotips,It's worth driving up from Tucson!,1
carlmcqueen,The selection was probably the worst I've seen in Vegas.....there was none.,0
klts0,Pretty good beer selection too.,1
juliasilge,"This place is like Chipotle, but BETTER.",1
1littlecoder,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1
iaroslav_domin,5 stars for the brick oven bread app!,1
robinlovelace,"I have eaten here multiple times, and each time the food was delicious.",1
whyRconf,We sat another ten minutes and finally gave up and left.,0
RLangTip,He was terrible!,0
VY_stem,Everyone is treated equally special.,1
sckottie,It shouldn't take 30 min for pancakes and eggs.,0
f_dion,It was delicious!!!,1
mberesewicz,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1
stein_giovana,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0
kyle_e_walker,As always the evening was wonderful and the food delicious!,1
PhotoshopLook,Best fish I've ever had in my life!,1
gamestat254,(The bathroom is just next door and very nice.),1
Jsthil99,The buffet is small and all the food they offered was BLAND.,0
RCoderWeb,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1
Eli_Krumova,Pretty cool I would say.,1
peducardoso,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0
jmcastagnetto,Server did a great job handling our large rowdy table.,1
chandan000negi,"I find wasting food to be despicable, but this just wasn't food.",0
GoldenB16117397,My wife had the Lobster Bisque soup which was lukewarm.,0
Bennour007sin,Would come back again if I had a sushi craving while in Vegas.,1
AndriyGazin,"The staff are great, the ambiance is great.",1
andrewheiss,He deserves 5 stars.,1
mrbilltran,I left with a stomach ache and felt sick the rest of the day.,0
StefanoCoretta,They dropped more than the ball.,0
shinysci,"The dining space is tiny, but elegantly decorated and comfortable.",1
ma_salmon,"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1
ChrisBeeley,And the beans and rice were mediocre at best.,0
somacrat,Best tacos in town by far!!,1
RHablamos,I took back my money and got outta there.,0
MAYoungUK,"In an interesting part of town, this place is amazing.",1
pamepairo,RUDE & INCONSIDERATE MANAGEMENT.,0
glass_graduate,"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0
wincolumnblog,I won't be back.,0
JRQuinley,They have great dinners.,1
hollyhacker,The service was outshining & I definitely recommend the Halibut.,1
BZgeo,The food was terrible.,0
appsilon,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0
JMFradeRue,I don't recommend unless your car breaks down in front of it and you are starving.,0
ConnectingAI,I will come back here every time I'm in Vegas.,1
joieprout,This place deserves one star and 90% has to do with the food.,0
dr_xeo,This is a disgrace.,0
HeathrTurnr,Def coming back to bowl next time,1
mihagazvoda,"If you want healthy authentic or ethic food, try this place.",1
DataKwery,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,1
StephanieYang93,"I have been here several times in the past, and the experience has always been great.",1
Chili14,We walked away stuffed and happy about our first Vegas buffet experience.,1
CfE_UoM,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1
FRotxblau,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1
danieluriol,I'm probably one of the few people to ever go to Ians and not like it.,0
jp_hydro,Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1
RoshanPaudeI,Service is perfect and the family atmosphere is nice to see.,1
FanninQED,Cooked to perfection and the service was impeccable.,1
BankProgramming,This one is simply a disappointment.,0
RussellSPierce,"Overall, I was very disappointed with the quality of food at Bouchon.",0
vidigal_br,I don't have to be an accountant to know I'm getting screwed!,0
shahinur1995is1,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1
Farmer_wheeler,Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1
DrAnaQueiros,Left very frustrated.,0
trappedalien,I'll definitely be in soon again.,1
Rchaeology1,Food was really good and I got full petty fast.,1
NumFOCUS,Service was fantastic.,1
RSeriesa,TOTAL WASTE OF TIME.,0
BrodieGaslam,I don't know what kind it is but they have the best iced tea.,1
larrydag,"Come hungry, leave happy and stuffed!",1
CodingPseudo,"For service, I give them no stars.",0
domliebl,I can assure you that you won't be disappointed.,1
A2DaveSept,I can take a little bad service but the food sucks.,0
Wissenzoro,Gave up trying to eat any of the crust (teeth still sore).,0
signormirko,But now I was completely grossed out.,0
Elliot_Meador,I really enjoyed eating here.,1
RoelMHogervorst,First time going but I think I will quickly become a regular.,1
vishal_katti,"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1
EvaMStrucken,From what my dinner companions told me...everything was very fresh with nice texture and taste.,1
LancasterCMAF,"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0
morebento,"Furthermore, you can't even find hours of operation on the website!",0
InfluencerProm1,We've tried to like this place but after 10+ times I think we're done with them.,0
PeeltothePithy,What a mistake that was!,0
alvaro_aguirrem,No complaints!,1
emretoros,This is some seriously good pizza and I'm an expert/connisseur on the topic.,1
LucaBaggi1997,Waiter was a jerk.,0
jaseziv,"Strike 2, who wants to be rushed.",0
FieJanis,These are the nicest restaurant owners I've ever come across.,1
joaquinarma,I never come again.,0
opencpu,We loved the biscuits!!!,1
iwengraf,Service is quick and friendly.,1
jasemurphy,Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0
mdsumner,So absolutley fantastic.,1
OscarKjell,It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0
OzancanOzdemir,definitely will come back here again.,1
RobCalver5,I like Steiners because it's dark and it feels like a bar.,1
rushworth_a,Wow very spicy but delicious.,1
Rethink_AI,"If you're not familiar, check it out.",1
Physacourses,I'll take my business dinner dollars elsewhere.,0
michal_ovadek,I'd love to go back.,1
sheena2804,"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1
neilfws,Nothing special.,0
yutannihilat_en,Each day of the week they have a different deal and it's all so delicious!,1
ChristinABuelow,"Not to mention the combination of pears, almonds and bacon is a big winner!",1
jmsallan,Will not be back.,0
bluecology,Sauce was tasteless.,0
nealhaddaway,"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1
MarineBonduell1,My ribeye steak was cooked perfectly and had great mesquite flavor.,1
blog_SLR,I don't think we'll be going back anytime soon.,0
gavinpaulkelly,Food was so gooodd.,1
BoyceWP,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0
jsugarelli,I was so insulted.,0
R_Graph_Gallery,The last 3 times I had lunch here has been bad.,0
MikeJohnsonPA,The chicken wings contained the driest chicken meat I have ever eaten.,0
Lisaa1000morea,"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1
MrEstrada_RHS,Nargile - I think you are great.,1
danieberg1,Best tater tots in the southwest.,1
aidanshpprd,We loved the place.,1
